German,English,Frequency
ich,I,890279
sie,you,806767
das,the,122198
ist,is,25610
du,you,947020
nicht,Not,756783
die,the,484854
es,it,303025
und,and,289891
der,the,726001
wir,we,721620
was,What,696010
zu,to,424706
er,he,352161
ein,a ,315301
in,in,231372
ja,Yes,54114
mir,me,19451
mit,With,14541
wie,how,928920
den,the,920646
mich,me,893076
auf,on,881418
dass,that,879520
aber,but,854492
eine,one,839485
so,so,813903
hat,Has,799017
hier,here,754243
haben,to have,742327
für,for,735252
sind,are,727078
war,was,712337
von,from,706490
wenn,if,694462
dich,you,688780
ihr,her,655351
nein,no,641479
habe,have,636175
an,on,627600
bin,am,576589
noch,still,572486
nur,only ,564245
da,there,564244
dir,to you,554802
sich,itself,533395
einen,a,532402
uns,us,523604
hast,have,511491
dem,to the,465044
kann,can,461755
gut,Well,452726
auch,also,449250
schon,beautiful,442343
als,as,440490
sein,be,440142
mal,times,435631
jetzt,now,435411
ihn,him,435147
dann,then,429424
aus,out,425184
meine,think,420280
um,around,417759
im,in the,403737
wird,becomes,394216
mein,my,384765
bist,are you,381498
doch,yet,381456
alles,all,366575
weiß,White,357869
keine,no,349315
oder,or,341214
nach,after,326208
s,S,309957
nichts,Nothing,308672
man,one,300922
muss,got to,295567
werden,will,294676
will,want,293445
ihnen,them,292370
geht,goes,290919
wo,Where,288363
etwas,some,286968
oh,Oh,284455
mehr,more,281301
bei,at,277087
also,so,276548
bitte,You're welcome,261548
immer,always,260238
hab,have,252697
warum,why,251177
vor,before,247840
los,Come on,242543
können,be able,240905
wieder,again,240508
sagen,to say,236702
machen,make,228412
danke,thanks,227937
sehr,very,226425
alle,Everyone,224850
denn,then,224543
mann,husband,222707
tun,do,219102
ihm,him,217025
zum,to the,216201
gehen,walk,213952
sehen,see,212948
vielleicht,perhaps,212216
einem,a,210889
wer,who,210823
ihre,their,208915
diese,this,208607
euch,you,206931
einer,one,202097
komm,come,201117
über,above,196855
gibt,are,196771
okay,OK,196683
wissen,to know,192456
deine,yours,191923
müssen,have to,191257
soll,target,191100
werde,will,187290
nie,never,185925
wirklich,really,185166
hey,hey,185011
kein,no,177553
viel,a lot of,176767
weg,away,175124
würde,would,175047
tut,does,172752
am,at the,170913
des,of,169182
einfach,easy,168892
leben,Life,167721
hatte,would have,162793
zeit,time,160393
weil,because,159743
willst,want,159106
kommen,come,156754
dein,your,155913
heute,today,154162
kommt,comes,153845
wollen,want,152595
damit,in order to,150635
ganz,all,149683
wäre,would,149557
wollte,wanted to,148643
weißt,white,147614
ok,OK,147191
sicher,secure,145360
gesagt,said,144870
frau,Mrs,143725
nun,well,143552
bis,until,142166
wurde,became,141236
leid,suffering,140641
na,n / A,140395
kannst,can,136795
macht,power,134768
dieser,this,134205
zurück,return,133326
lassen,to let,131393
hallo,Hello,128561
meinen,think,128288
gott,God,127498
seine,his,126038
hätte,would have,125345
zwei,two,122625
könnte,could,117870
genau,I agree,117667
waren,were,117474
zur,to the,115474
lass,let,115316
klar,clear,113688
morgen,morning,112042
leute,people,109956
vater,father,109048
schön,Nice,106669
glaube,believe,105941
mr.,mr.,105640
ab,away,104853
gerade,just,104130
tag,Day,103559
gesehen,seen,103106
reden,talk,101992
wohl,probably,100488
lieb,dear,99301
sollt,should,98826
sagt,says,98657
unser,our,98478
jeman,Jeman,98283
gel,gel,98052
durc,durc,97587
o,O,97001
keine,no,96394
mutte,mutate,95349
rau,rough,95012
gemach,chamber,94261
paa,Paa,93818
,,93345
